wavelength,transmission_u,transmission_g,transmission_r,transmission_i,transmission_z,transmission_q
223.5,5.11e-05,-9.65e-06,-3.74e-07,5.85e-06,9.2e-06,1.85e-05
224.0,6.35e-05,3.15e-05,1.06e-05,-1.48e-05,-9.91e-06,4.15e-05
224.5,-1.14e-06,2.87e-05,1.9e-05,-2.15e-05,6.71e-06,2.59e-05
225.0,1.96e-05,7.71e-06,2.64e-05,-1.28e-05,0.000182777,7.84e-05
225.5,5.7e-05,3.99e-05,3.97e-05,3.36e-06,1.28e-05,-3.55e-05
226.0,1.91e-05,3.64e-05,1.28e-05,-1.08e-05,8.78e-06,4.75e-05
226.5,9.34e-05,2.67e-05,-2.64e-07,-5.26e-06,-9.73e-06,-3.32e-06
227.0,2.2e-05,4.91e-07,5.05e-06,-1.46e-05,-2.82e-05,-5.14e-06
227.5,-2.5e-06,2.29e-05,2.81e-06,-2.36e-06,-8.34e-05,8.03e-06
228.0,6.36e-05,6.11e-06,1.46e-06,-3.64e-08,6.6e-05,6.39e-05
228.5,-2.26e-05,9.8e-06,2.44e-05,9.49e-06,1.52e-05,9.14e-05
229.0,4.54e-05,2.06e-05,2.39e-05,5.42e-06,-5.5e-05,8.12e-05
229.5,-0.000101081,3.19e-05,4.56e-05,-3.09e-06,0.000116749,7.86e-06
230.0,5.04e-05,2.28e-05,3.11e-05,3.11e-06,7.05e-05,5.73e-05
230.5,4.07e-05,4.17e-05,2.39e-05,-3.91e-06,6.37e-05,3.3e-06
231.0,1.69e-06,4.09e-05,1e-05,-2.26e-05,5.07e-05,6.64e-05
231.5,4.28e-05,2.26e-05,-2.08e-07,1.18e-06,6.29e-05,7.57e-05
232.0,6.29e-05,2.39e-05,-1.23e-05,-1.29e-05,-1.92e-05,0.000140647
232.5,-1.54e-05,1.9e-05,-1.09e-05,-8.81e-06,-4.11e-05,-7.6e-05
233.0,5.91e-05,1.34e-05,1.8e-05,-7.24e-06,3.68e-05,2.83e-05
233.5,-7.1e-05,1.81e-05,3.28e-05,9.42e-06,0.000114606,8.23e-05
234.0,8.41e-06,2.1e-05,3.23e-05,1.69e-05,0.000108047,3.99e-05
234.5,-7.88e-05,6.61e-06,2.3e-05,1.94e-06,8.22e-05,-2.17e-05
235.0,4.65e-05,1.39e-05,2.02e-05,-1.19e-05,8.64e-06,4.52e-05
235.5,0.000107146,1.67e-05,8.59e-06,-3.85e-06,0.000136204,7.9e-05
236.0,1.63e-05,3.52e-05,-1.43e-05,-9.09e-06,-9.99e-05,6.84e-06
236.5,-2.15e-05,3.64e-05,-1.55e-05,-6.33e-06,-4.76e-05,-6.28e-05
237.0,-3.98e-05,3.91e-05,5.16e-07,-1.69e-05,-4.35e-05,4.2e-05
237.5,3.82e-05,1.38e-05,1.18e-05,-2.4e-06,0.000150651,5.9e-05
238.0,8.88e-06,2.21e-05,1.82e-05,-5.04e-06,-4.38e-05,3.28e-05
238.5,-3.55e-05,2.26e-05,3e-05,-2.65e-05,7.68e-05,8.04e-05
239.0,-4.78e-05,3.73e-05,4e-05,-5.87e-06,4.11e-05,6.57e-05
239.5,-1.49e-06,1.52e-05,1.82e-05,5.75e-06,0.000141501,1.23e-05
240.0,9.69e-05,2.27e-05,2.4e-05,1.36e-05,1.26e-05,-5.85e-05
240.5,-2.32e-05,2.51e-05,-1.98e-05,2.03e-05,-0.000127231,1.61e-05
241.0,0.000120147,8.62e-06,-1.74e-05,-6.58e-06,-6.48e-07,6.43e-05
241.5,3.53e-05,3.34e-05,-1.48e-05,-1.55e-05,1.16e-05,-3.27e-05
242.0,3.45e-05,3.35e-05,-1.04e-05,-3.29e-05,-8.96e-05,-1.96e-05
242.5,5.39e-05,1.42e-05,2.37e-05,-9.61e-06,4.68e-05,3.23e-06
243.0,3.22e-05,3.83e-05,3.5e-05,-2.02e-05,-4.23e-05,0.000100673
243.5,-0.000101092,4.52e-05,3.28e-05,-1.06e-05,-7.92e-05,2.07e-05
244.0,-6.15e-05,5.29e-05,5.43e-06,6.68e-06,-2.61e-05,0.000113041
244.5,-6.49e-06,2.74e-05,-2.32e-06,-3.49e-07,3.62e-05,4.25e-05
